epoch,loss,step
0,-0.109375,49
0,-0.11328125,99
0,-0.11328125,149
0,-0.125,199
1,-0.09375,249
1,-0.09765625,299
1,-0.09375,349
1,-0.08203125,399
1,-0.1015625,449
2,-0.078125,499
2,-0.078125,549
2,-0.09375,599
2,-0.109375,649
2,-0.1015625,699
3,-0.109375,749
3,-0.09765625,799
3,-0.08203125,849
3,-0.0625,899
4,-0.12109375,949
4,-0.1171875,999
4,-0.0625,1049
4,-0.1328125,1099
